PRJ;Execucao;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
06Fibonacci;2;5;6;83%;12;12;100%
06Fibonacci;4;5;6;83%;12;12;100%
06Fibonacci;5;5;6;83%;12;12;100%
06Fibonacci;6;5;6;83%;12;12;100%
06Fibonacci;7;5;6;83%;12;12;100%
06Fibonacci;8;5;6;83%;12;12;100%
06Fibonacci;9;5;6;83%;12;12;100%
06Fibonacci;10;5;6;83%;12;12;100%
