PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
13Pilha;0.7;10;12;83%;24;31;77%
13Pilha;0.7;11;12;92%;24;31;77%
13Pilha;0.7;11;12;92%;24;31;77%
13Pilha;0.8;10;12;83%;24;31;77%
13Pilha;0.8;12;12;100%;25;31;81%
13Pilha;0.8;12;12;100%;25;31;81%
13Pilha;0.9;11;12;92%;27;31;87%
13Pilha;0.9;12;12;100%;22;31;71%
13Pilha;0.9;10;12;83%;24;31;77%
13Pilha;1.0;12;12;100%;25;31;81%
13Pilha;1.0;12;12;100%;25;31;81%
13Pilha;0.6;12;12;100%;25;31;81%
13Pilha;0.6;12;12;100%;29;31;94%
13Pilha;0.6;12;12;100%;25;31;81%
13Pilha;0.5;10;12;83%;24;31;77%
13Pilha;0.5;10;12;83%;24;31;77%
13Pilha;0.5;10;12;83%;24;31;77%
13Pilha;0.4;10;12;83%;24;31;77%
13Pilha;0.4;10;12;83%;24;31;77%
13Pilha;0.4;10;12;83%;24;31;77%
13Pilha;0.3;10;12;83%;24;31;77%
13Pilha;0.3;10;12;83%;24;31;77%
13Pilha;0.3;10;12;83%;24;31;77%
13Pilha;0.2;10;12;83%;24;31;77%
13Pilha;0.2;10;12;83%;24;31;77%
13Pilha;0.2;10;12;83%;24;31;77%
13Pilha;0.1;10;12;83%;24;31;77%
13Pilha;0.1;10;12;83%;24;31;77%
13Pilha;0.1;10;12;83%;24;31;77%
13Pilha;0.0;10;12;83%;24;31;77%
13Pilha;0.0;10;12;83%;24;31;77%
13Pilha;0.0;10;12;83%;24;31;77%
13Pilha;0.0;0;12;0%;0;31;0%
