PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
25Grafo;0.7;34;34;100%;71;109;65%
25Grafo;0.8;30;34;88%;62;109;57%
25Grafo;0.9;27;34;79%;69;109;63%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;0.9;27;34;79%;68;109;62%
25Grafo;1.0;34;34;100%;83;109;76%
25Grafo;1.0;34;34;100%;84;109;77%
25Grafo;0.6;34;34;100%;83;109;76%
25Grafo;0.6;27;34;79%;70;109;64%
25Grafo;0.5;34;34;100%;84;109;77%
25Grafo;0.4;34;34;100%;83;109;76%
25Grafo;0.4;26;34;76%;61;109;56%
25Grafo;0.4;34;34;100%;83;109;76%
25Grafo;0.3;34;34;100%;82;109;75%
25Grafo;0.3;26;34;76%;67;109;61%
25Grafo;0.3;34;34;100%;83;109;76%
25Grafo;0.2;34;34;100%;73;109;67%
25Grafo;0.2;27;34;79%;68;109;62%
25Grafo;0.1;34;34;100%;73;109;67%
25Grafo;0.1;34;34;100%;83;109;76%
25Grafo;0.1;34;34;100%;73;109;67%
25Grafo;0.0;34;34;100%;83;109;76%
25Grafo;0.0;34;34;100%;83;109;76%
25Grafo;0.0;34;34;100%;83;109;76%
25Grafo;0.0;0;34;0%;0;109;0%
