PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
27Grafo;0.7;33;33;100%;82;108;76%
27Grafo;0.7;25;33;76%;65;108;60%
27Grafo;0.8;26;33;79%;56;108;52%
27Grafo;0.8;25;33;76%;65;108;60%
27Grafo;1.0;17;33;52%;41;108;38%
27Grafo;1.0;26;33;79%;68;108;63%
27Grafo;0.6;25;33;76%;66;108;61%
27Grafo;0.6;17;33;52%;47;108;44%
27Grafo;0.6;33;33;100%;72;108;67%
27Grafo;0.5;33;33;100%;84;108;78%
27Grafo;0.5;33;33;100%;83;108;77%
27Grafo;0.4;33;33;100%;82;108;76%
27Grafo;0.4;33;33;100%;71;108;66%
27Grafo;0.3;26;33;79%;68;108;63%
27Grafo;0.3;33;33;100%;77;108;71%
27Grafo;0.3;33;33;100%;82;108;76%
27Grafo;0.2;33;33;100%;81;108;75%
27Grafo;0.2;33;33;100%;82;108;76%
27Grafo;0.2;33;33;100%;77;108;71%
27Grafo;0.1;33;33;100%;84;108;78%
27Grafo;0.1;33;33;100%;82;108;76%
27Grafo;0.0;33;33;100%;83;108;77%
27Grafo;0.0;33;33;100%;83;108;77%
27Grafo;0.0;33;33;100%;82;108;76%
27Grafo;0.0;0;33;0%;0;108;0%
