PRJ;Execucao;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
05Ordenacao;0;9;10;90%;16;20;80%
05Ordenacao;1;9;10;90%;16;20;80%
05Ordenacao;2;9;10;90%;16;20;80%
05Ordenacao;3;9;10;90%;16;20;80%
05Ordenacao;4;9;10;90%;16;20;80%
05Ordenacao;5;9;10;90%;16;20;80%
05Ordenacao;7;2;10;20%;3;20;15%
05Ordenacao;8;9;10;90%;16;20;80%
05Ordenacao;9;9;10;90%;16;20;80%
05Ordenacao;10;9;10;90%;16;20;80%
05Ordenacao;11;9;10;90%;16;20;80%
