PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
26Grafo;0.7;43;51;84%;75;127;59%
26Grafo;0.7;49;51;96%;67;127;53%
26Grafo;0.8;44;51;86%;76;127;60%
26Grafo;0.8;43;51;84%;76;127;60%
26Grafo;0.8;43;51;84%;75;127;59%
26Grafo;0.9;49;51;96%;84;127;66%
26Grafo;0.9;49;51;96%;84;127;66%
26Grafo;0.9;46;51;90%;79;127;62%
26Grafo;1.0;49;51;96%;92;127;72%
26Grafo;1.0;49;51;96%;73;127;57%
26Grafo;0.6;44;51;86%;61;127;48%
26Grafo;0.6;44;51;86%;82;127;65%
26Grafo;0.6;43;51;84%;74;127;58%
26Grafo;0.5;49;51;96%;93;127;73%
26Grafo;0.5;49;51;96%;89;127;70%
26Grafo;0.5;49;51;96%;89;127;70%
26Grafo;0.4;49;51;96%;91;127;72%
26Grafo;0.4;50;51;98%;93;127;73%
26Grafo;0.4;49;51;96%;91;127;72%
26Grafo;0.3;49;51;96%;76;127;60%
26Grafo;0.3;50;51;98%;93;127;73%
26Grafo;0.3;49;51;96%;90;127;71%
26Grafo;0.2;49;51;96%;90;127;71%
26Grafo;0.2;49;51;96%;76;127;60%
26Grafo;0.2;49;51;96%;76;127;60%
26Grafo;0.1;49;51;96%;91;127;72%
26Grafo;0.1;49;51;96%;76;127;60%
26Grafo;0.1;49;51;96%;91;127;72%
26Grafo;0.0;49;51;96%;76;127;60%
26Grafo;0.0;49;51;96%;76;127;60%
26Grafo;0.0;49;51;96%;76;127;60%
26Grafo;0.0;0;51;0%;0;127;0%
