PRJ;Temperature;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
24Grafo;0.8;32;42;76%;86;143;60%
24Grafo;0.8;32;42;76%;84;143;59%
24Grafo;0.9;32;42;76%;84;143;59%
24Grafo;0.9;32;42;76%;82;143;57%
24Grafo;1.0;37;42;88%;73;143;51%
24Grafo;1.0;32;42;76%;82;143;57%
24Grafo;1.0;42;42;100%;98;143;69%
24Grafo;0.6;32;42;76%;85;143;59%
24Grafo;0.6;42;42;100%;88;143;62%
24Grafo;0.6;25;42;60%;53;143;37%
24Grafo;0.5;35;42;83%;71;143;50%
24Grafo;0.5;35;42;83%;71;143;50%
24Grafo;0.5;32;42;76%;82;143;57%
24Grafo;0.4;35;42;83%;71;143;50%
24Grafo;0.4;35;42;83%;71;143;50%
24Grafo;0.4;32;42;76%;82;143;57%
24Grafo;0.3;32;42;76%;81;143;57%
24Grafo;0.3;42;42;100%;99;143;69%
24Grafo;0.3;25;42;60%;53;143;37%
24Grafo;0.2;35;42;83%;71;143;50%
24Grafo;0.2;35;42;83%;71;143;50%
24Grafo;0.2;32;42;76%;84;143;59%
24Grafo;0.1;35;42;83%;71;143;50%
24Grafo;0.1;35;42;83%;71;143;50%
24Grafo;0.1;35;42;83%;71;143;50%
24Grafo;0.0;35;42;83%;71;143;50%
24Grafo;0.0;35;42;83%;71;143;50%
24Grafo;0.0;35;42;83%;71;143;50%
24Grafo;0.0;0;42;0%;0;143;0%
